Gender,Age,Area,Income,Feature,Brand,NumberOfDevices,Preference,Heard,ShoppingOnline,Unlock
Female,49,suburban,$100.000 to $150.000,Quality,Apple Home Kit,10-15,Remote Access,Yes,16,Remote unlock by application
Male,30,rural,$25.000 to $50.000,Friend’s recommendation,None of these,,Remote Access,Yes,36,Biometrics - fingerprint
Female,24,rural,$150.000 or More,Brand,None of these,,Safety,Yes,67,Biometrics - fingerprint
Female,35,urban,Less than $25.000,Safety,None of these,,Brand,Yes,45,Biometrics - eyescan
Male,35,urban,$75.000 to $100.000,Friend’s recommendation,Loxone,1-5,Price,No,31,Conventional key
Female,37,rural,$100.000 to $150.000,Price,Nest,5-10,Price,No,34,Biometrics - fingerprint
Female,40,urban,$25.000 to $50.000,Price,Amazon Alexa,10-15,Safety,No,19,NFC
Female,36,urban,$75.000 to $100.000,Convenience,Apple Home Kit,5-10,Price,Yes,38,Conventional key
Male,33,urban,Less than $25.000,Price,None of these,,Remote Access,Yes,38,Bluetooth
Male,39,suburban,$50.000 to $75.000,Price,None of these,,Safety,No,,Conventional key
Male,26,urban,Less than $25.000,Friend’s recommendation,None of these,,Remote Access,No,,Remote unlock by application
Male,40,suburban,Less than $25.000,Durability,Google Home,1-5,Remote Access,No,28,Biometrics - photo
Female,36,suburban,$100.000 to $150.000,Friend’s recommendation,None of these,,Safety,Yes,41,NFC
Male,34,rural,$25.000 to $50.000,Safety,None of these,,Remote Access,Yes,19,Remote unlock by application
Female,29,urban,$50.000 to $75.000,Quality,None of these,,Brand,Yes,38,NFC
Female,33,rural,$25.000 to $50.000,Friend’s recommendation,Loxone,5-10,Safety,Yes,43,NFC
Male,32,rural,$150.000 or More,Quality,None of these,,Smart Features,No,42,Biometrics - fingerprint
Male,22,suburban,$25.000 to $50.000,Convenience,None of these,,Smart Features,No,77,Biometrics - fingerprint
Male,36,rural,$25.000 to $50.000,Price,Amazon Alexa,10-15,Safety,No,36,Conventional key
Female,27,suburban,$150.000 or More,Brand,None of these,,Brand,Yes,67,Remote unlock by application
Male,25,urban,$75.000 to $100.000,Convenience,Loxone,5-10,Brand,No,77,Biometrics - eyescan
Female,23,urban,$100.000 to $150.000,Convenience,Fibaro,5-10,Brand,Yes,59,Remote unlock by application
Male,32,urban,$100.000 to $150.000,Friend’s recommendation,None of these,,Price,Yes,37,Bluetooth
Female,29,urban,$25.000 to $50.000,Price,Amazon Alexa,,Smart Features,Yes,,Remote unlock by application
Female,27,rural,$50.000 to $75.000,Price,Nest,5-10,Smart Features,Yes,84,Remote unlock by application
Female,40,urban,$100.000 to $150.000,Quality,None of these,,Remote Access,Yes,35,NFC
Female,31,urban,$100.000 to $150.000,Packaging,Apple Home Kit,>15,Smart Features,Yes,46,Remote unlock by application
Female,26,urban,$150.000 or More,Brand,Apple Home Kit,10-15,Safety,Yes,36,Conventional key
Male,26,rural,$25.000 to $50.000,Price,None of these,,Brand,Yes,59,Conventional key
Male,31,urban,$75.000 to $100.000,Quality,Fibaro,1-5,Safety,No,40,NFC
Male,30,suburban,Less than $25.000,Convenience,Loxone,,Price,No,,Biometrics - fingerprint
Male,33,urban,$150.000 or More,Quality,Nest,1-5,Brand,No,39,Conventional key
Male,36,urban,Less than $25.000,Safety,None of these,,Price,No,,Conventional key
Female,31,suburban,$150.000 or More,Packaging,Nest,1-5,Brand,Yes,19,Biometrics - fingerprint
Female,43,suburban,$75.000 to $100.000,Friend’s recommendation,Nest,5-10,Safety,No,31,Conventional key
Male,42,urban,$150.000 or More,Durability,None of these,,Price,No,27,Biometrics - fingerprint
Female,25,suburban,$50.000 to $75.000,Convenience,None of these,,Brand,No,46,Biometrics - eyescan
Female,37,rural,$25.000 to $50.000,Durability,None of these,,Price,Yes,36,Biometrics - fingerprint
Female,40,urban,$100.000 to $150.000,Quality,None of these,,Brand,No,27,Conventional key
Male,30,suburban,$25.000 to $50.000,Quality,Nest,5-10,Price,Yes,28,NFC
Male,29,suburban,$50.000 to $75.000,Quality,None of these,,Smart Features,No,61,Remote unlock by application
Male,33,suburban,$25.000 to $50.000,Safety,None of these,,Remote Access,No,22,Biometrics - photo
Male,29,rural,$75.000 to $100.000,Safety,Google Home,,Remote Access,No,,Biometrics - photo
Male,30,suburban,Less than $25.000,Price,Nest,1-5,Safety,No,46,Conventional key
Female,38,urban,$25.000 to $50.000,Friend’s recommendation,Google Home,>15,Remote Access,Yes,39,Biometrics - photo
Male,37,urban,$75.000 to $100.000,Durability,Google Home,1-5,Safety,No,35,Biometrics - photo
Female,33,rural,$100.000 to $150.000,Quality,None of these,,Smart Features,No,,Conventional key
Female,40,rural,Less than $25.000,Price,None of these,,Brand,No,39,Remote unlock by application
Female,48,suburban,$50.000 to $75.000,Quality,None of these,,Price,Yes,21,Conventional key
Male,31,suburban,Less than $25.000,Durability,None of these,,Price,Yes,51,NFC
Male,36,urban,Less than $25.000,Convenience,None of these,,Safety,Yes,29,Conventional key
Male,21,suburban,$100.000 to $150.000,Quality,Loxone,1-5,Safety,No,96,Biometrics - eyescan
Male,30,rural,$75.000 to $100.000,Price,None of these,,Smart Features,Yes,8,NFC
Male,30,urban,$150.000 or More,Quality,None of these,,Brand,Yes,43,Conventional key
Female,37,suburban,$25.000 to $50.000,Price,Google Home,1-5,Smart Features,Yes,13,NFC
Female,28,urban,$100.000 to $150.000,Durability,Apple Home Kit,10-15,Brand,No,58,Conventional key
Female,38,suburban,$50.000 to $75.000,Brand,None of these,,Safety,No,35,Conventional key
Male,41,suburban,$25.000 to $50.000,Quality,None of these,,Remote Access,No,,Remote unlock by application
Female,27,urban,$25.000 to $50.000,Friend’s recommendation,Loxone,1-5,Remote Access,No,32,Remote unlock by application
Female,28,suburban,Less than $25.000,Price,None of these,,Price,No,50,NFC
Male,21,urban,$100.000 to $150.000,Packaging,None of these,,Remote Access,Yes,25,Remote unlock by application
Female,36,suburban,$50.000 to $75.000,Packaging,Loxone,,Price,No,,Bluetooth
Female,24,urban,$75.000 to $100.000,Safety,None of these,,Smart Features,Yes,68,Biometrics - photo
Male,32,suburban,$50.000 to $75.000,Durability,None of these,,Price,Yes,17,Conventional key
Female,34,rural,$75.000 to $100.000,Convenience,None of these,,Price,No,30,Remote unlock by application
Male,26,urban,$50.000 to $75.000,Price,None of these,,Brand,No,53,Conventional key
Male,27,urban,$100.000 to $150.000,Brand,Apple Home Kit,10-15,Remote Access,No,50,Biometrics - photo
Female,27,urban,$100.000 to $150.000,Friend’s recommendation,Nest,10-15,Remote Access,Yes,40,Remote unlock by application
Male,21,urban,$100.000 to $150.000,Packaging,None of these,,Safety,No,25,Conventional key
Male,32,urban,$50.000 to $75.000,Safety,Nest,5-10,Safety,Yes,44,NFC
Female,32,rural,$25.000 to $50.000,Quality,Google Home,1-5,Safety,No,43,Biometrics - photo
Female,29,rural,$75.000 to $100.000,Quality,None of these,,Smart Features,Yes,35,Remote unlock by application
Male,35,suburban,$100.000 to $150.000,Quality,Apple Home Kit,1-5,Brand,No,15,Biometrics - fingerprint
Male,30,rural,$150.000 or More,Price,Loxone,1-5,Remote Access,Yes,39,Remote unlock by application
Male,38,suburban,$50.000 to $75.000,Safety,None of these,,Price,No,49,Conventional key
Female,26,suburban,$150.000 or More,Packaging,None of these,,Remote Access,Yes,65,Remote unlock by application
Female,25,rural,$100.000 to $150.000,Packaging,None of these,,Smart Features,No,70,Conventional key
Male,34,urban,$50.000 to $75.000,Brand,Loxone,1-5,Smart Features,No,51,Biometrics - photo
Female,34,rural,$50.000 to $75.000,Durability,Loxone,1-5,Safety,No,32,Conventional key
Female,32,suburban,$25.000 to $50.000,Price,Amazon Alexa,5-10,Price,Yes,41,Conventional key
Male,35,urban,$25.000 to $50.000,Friend’s recommendation,Amazon Alexa,,Price,Yes,,Conventional key
Male,37,suburban,$25.000 to $50.000,Durability,Google Home,5-10,Brand,No,35,Biometrics - eyescan
Female,29,urban,$25.000 to $50.000,Convenience,Amazon Alexa,5-10,Price,No,62,Conventional key
Male,31,urban,$50.000 to $75.000,Convenience,Google Home,10-15,Smart Features,No,48,Bluetooth
Female,24,rural,$50.000 to $75.000,Durability,Loxone,5-10,Price,Yes,45,NFC
Female,32,rural,$50.000 to $75.000,Packaging,Fibaro,1-5,Smart Features,No,39,Remote unlock by application
Female,26,rural,$75.000 to $100.000,Friend’s recommendation,Loxone,5-10,Smart Features,No,71,Remote unlock by application
Male,37,urban,$50.000 to $75.000,Quality,Amazon Alexa,5-10,Price,No,34,Remote unlock by application
Female,32,suburban,$100.000 to $150.000,Durability,Loxone,1-5,Price,No,35,Bluetooth
Male,22,urban,$150.000 or More,Convenience,None of these,,Smart Features,Yes,60,Bluetooth
Female,36,suburban,$25.000 to $50.000,Packaging,Loxone,5-10,Price,Yes,50,Conventional key
Female,41,rural,$75.000 to $100.000,Safety,None of these,,Smart Features,Yes,27,NFC
Female,35,suburban,$25.000 to $50.000,Price,Nest,10-15,Brand,Yes,39,Biometrics - fingerprint
Female,21,suburban,$25.000 to $50.000,Friend’s recommendation,Amazon Alexa,5-10,Remote Access,Yes,51,Remote unlock by application
Female,26,urban,$75.000 to $100.000,Price,None of these,,Smart Features,Yes,40,Biometrics - photo
Female,31,urban,$25.000 to $50.000,Durability,Amazon Alexa,10-15,Price,No,45,Bluetooth
Male,21,urban,Less than $25.000,Durability,Loxone,1-5,Smart Features,No,91,Remote unlock by application
Male,40,suburban,$100.000 to $150.000,Quality,Loxone,,Smart Features,No,,Biometrics - photo
Male,37,rural,$100.000 to $150.000,Quality,Nest,5-10,Smart Features,No,31,Remote unlock by application
Female,33,suburban,$150.000 or More,Durability,Apple Home Kit,5-10,Price,Yes,43,Conventional key
Female,26,urban,$150.000 or More,Quality,Loxone,5-10,Brand,No,63,Conventional key
Female,35,rural,$100.000 to $150.000,Friend’s recommendation,Loxone,5-10,Safety,Yes,51,Biometrics - fingerprint
Female,39,urban,$25.000 to $50.000,Packaging,Loxone,1-5,Safety,No,38,Biometrics - photo
Male,24,urban,$150.000 or More,Friend’s recommendation,None of these,,Brand,No,52,Bluetooth
Female,25,suburban,$100.000 to $150.000,Durability,Google Home,1-5,Brand,No,43,Bluetooth
Female,42,urban,Less than $25.000,Brand,None of these,,Safety,Yes,25,Biometrics - photo
Female,35,suburban,$100.000 to $150.000,Brand,Loxone,,Safety,No,,Conventional key
Female,28,suburban,Less than $25.000,Price,None of these,,Price,Yes,61,NFC
Female,39,suburban,$50.000 to $75.000,Price,Google Home,5-10,Remote Access,No,19,Biometrics - photo
Female,35,urban,$150.000 or More,Quality,None of these,,Safety,No,,Conventional key
Female,34,urban,$100.000 to $150.000,Packaging,Loxone,1-5,Smart Features,No,40,Bluetooth
Male,32,urban,$150.000 or More,Convenience,None of these,,Safety,Yes,47,Conventional key
Male,36,suburban,$50.000 to $75.000,Convenience,None of these,,Price,Yes,43,Conventional key
Female,30,rural,$25.000 to $50.000,Friend’s recommendation,None of these,,Price,No,10,Biometrics - eyescan
Male,22,urban,$75.000 to $100.000,Packaging,Loxone,5-10,Price,No,49,Bluetooth
Male,32,urban,$50.000 to $75.000,Price,None of these,,Smart Features,No,24,Biometrics - eyescan
Male,34,urban,$150.000 or More,Quality,None of these,,Remote Access,Yes,16,Biometrics - eyescan
Female,36,urban,$100.000 to $150.000,Durability,None of these,,Smart Features,Yes,53,Bluetooth
Female,30,suburban,$100.000 to $150.000,Friend’s recommendation,Loxone,1-5,Remote Access,No,51,Remote unlock by application
Male,37,rural,$150.000 or More,Brand,Google Home,1-5,Remote Access,No,35,Remote unlock by application
Male,47,urban,Less than $25.000,Friend’s recommendation,Nest,5-10,Price,Yes,29,Remote unlock by application
Female,38,suburban,$100.000 to $150.000,Friend’s recommendation,Amazon Alexa,>15,Remote Access,Yes,21,Remote unlock by application
Female,38,rural,$25.000 to $50.000,Friend’s recommendation,Nest,5-10,Smart Features,No,51,Bluetooth
Female,29,urban,$150.000 or More,Packaging,Nest,5-10,Brand,Yes,49,NFC
Male,35,urban,$75.000 to $100.000,Brand,Google Home,1-5,Brand,No,33,NFC
Male,36,urban,$100.000 to $150.000,Quality,Apple Home Kit,>15,Remote Access,Yes,40,Remote unlock by application
Male,32,suburban,$25.000 to $50.000,Quality,Amazon Alexa,1-5,Brand,No,32,Biometrics - eyescan
Female,35,urban,$150.000 or More,Safety,Google Home,10-15,Brand,Yes,27,Bluetooth
Female,29,suburban,$75.000 to $100.000,Convenience,Loxone,1-5,Safety,No,41,NFC
Female,25,urban,Less than $25.000,Price,Nest,10-15,Remote Access,Yes,36,Bluetooth
Female,40,urban,$75.000 to $100.000,Convenience,None of these,,Safety,Yes,35,NFC
Female,44,urban,$100.000 to $150.000,Friend’s recommendation,Nest,5-10,Safety,Yes,40,Biometrics - photo
Female,40,rural,Less than $25.000,Price,Nest,10-15,Brand,Yes,32,Conventional key
Male,27,urban,$25.000 to $50.000,Friend’s recommendation,None of these,,Brand,Yes,46,Conventional key
Female,38,urban,$100.000 to $150.000,Convenience,Nest,1-5,Smart Features,No,25,NFC
Male,37,rural,$75.000 to $100.000,Safety,None of these,,Brand,No,29,Biometrics - photo
Female,35,urban,$100.000 to $150.000,Packaging,Fibaro,5-10,Price,Yes,38,Remote unlock by application
Female,30,urban,Less than $25.000,Price,Nest,5-10,Price,No,38,Bluetooth
Male,24,rural,$75.000 to $100.000,Quality,Loxone,1-5,Price,No,45,Conventional key
Female,27,suburban,Less than $25.000,Safety,None of these,,Remote Access,No,,Biometrics - eyescan
Female,42,rural,$150.000 or More,Friend’s recommendation,Fibaro,5-10,Remote Access,No,27,NFC
Female,37,urban,$25.000 to $50.000,Friend’s recommendation,Fibaro,1-5,Price,Yes,43,Bluetooth
Female,29,urban,$25.000 to $50.000,Convenience,None of these,,Price,No,63,Biometrics - fingerprint
Male,44,urban,$25.000 to $50.000,Packaging,None of these,,Safety,Yes,27,Conventional key
Male,31,urban,$100.000 to $150.000,Price,Loxone,1-5,Brand,No,15,Conventional key
Female,40,suburban,$50.000 to $75.000,Price,None of these,,Remote Access,No,27,Bluetooth
Female,27,rural,$75.000 to $100.000,Brand,Loxone,5-10,Remote Access,Yes,50,Bluetooth
Female,29,urban,$50.000 to $75.000,Quality,Loxone,1-5,Smart Features,No,56,Remote unlock by application
Female,30,suburban,$25.000 to $50.000,Brand,None of these,,Price,No,44,Bluetooth
Female,36,urban,$100.000 to $150.000,Safety,None of these,,Safety,Yes,46,Biometrics - photo
Female,27,rural,$25.000 to $50.000,Durability,Google Home,5-10,Safety,No,38,NFC
Female,27,suburban,$50.000 to $75.000,Safety,Loxone,1-5,Smart Features,No,42,NFC
Female,24,suburban,$50.000 to $75.000,Price,None of these,,Remote Access,Yes,64,Biometrics - fingerprint
Female,37,urban,$150.000 or More,Quality,Nest,1-5,Remote Access,Yes,27,Remote unlock by application
Female,27,rural,$25.000 to $50.000,Quality,None of these,,Remote Access,No,60,Remote unlock by application
Female,31,urban,Less than $25.000,Durability,Fibaro,5-10,Remote Access,Yes,47,Biometrics - photo
Female,33,rural,Less than $25.000,Quality,None of these,,Price,No,40,NFC
Female,27,urban,$50.000 to $75.000,Safety,None of these,,Brand,Yes,49,Biometrics - fingerprint
Female,31,urban,$25.000 to $50.000,Friend’s recommendation,Amazon Alexa,5-10,Remote Access,Yes,33,Remote unlock by application
Male,40,urban,$100.000 to $150.000,Convenience,None of these,,Smart Features,No,21,Biometrics - photo
Female,35,urban,$25.000 to $50.000,Safety,None of these,,Smart Features,Yes,40,Conventional key
Female,37,rural,$100.000 to $150.000,Convenience,None of these,,Remote Access,No,30,Remote unlock by application
Male,23,urban,$50.000 to $75.000,Friend’s recommendation,Nest,5-10,Safety,Yes,59,Conventional key
Male,31,urban,$75.000 to $100.000,Price,Loxone,1-5,Safety,No,21,Conventional key
Male,21,rural,Less than $25.000,Price,None of these,,Safety,No,65,Biometrics - photo
Female,35,urban,$150.000 or More,Packaging,None of these,,Safety,Yes,49,Biometrics - fingerprint
Male,36,suburban,$50.000 to $75.000,Quality,None of these,,Safety,No,11,Conventional key
Male,29,urban,$100.000 to $150.000,Price,Nest,5-10,Remote Access,Yes,51,Remote unlock by application
Male,30,urban,$150.000 or More,Packaging,Apple Home Kit,>15,Safety,Yes,45,Biometrics - fingerprint
Male,40,urban,$150.000 or More,Friend’s recommendation,Loxone,5-10,Safety,No,26,Biometrics - photo
Male,20,suburban,$150.000 or More,Quality,Loxone,5-10,Brand,No,77,Conventional key
Male,30,suburban,$25.000 to $50.000,Friend’s recommendation,Google Home,1-5,Safety,No,53,Remote unlock by application
Male,30,rural,$75.000 to $100.000,Price,Nest,5-10,Smart Features,Yes,24,Biometrics - eyescan
Female,31,urban,Less than $25.000,Safety,None of these,,Remote Access,Yes,41,Remote unlock by application
Male,28,rural,$100.000 to $150.000,Durability,Nest,5-10,Remote Access,Yes,38,Biometrics - eyescan
Male,23,suburban,$100.000 to $150.000,Packaging,None of these,,Smart Features,Yes,54,Remote unlock by application
Male,41,rural,$25.000 to $50.000,Price,Amazon Alexa,5-10,Price,Yes,35,Conventional key
Male,37,urban,$100.000 to $150.000,Price,None of these,,Smart Features,Yes,35,Bluetooth
Female,33,urban,$25.000 to $50.000,Friend’s recommendation,Google Home,1-5,Brand,No,36,Biometrics - photo
Male,36,suburban,$50.000 to $75.000,Price,None of these,,Safety,Yes,32,Biometrics - eyescan
Male,36,rural,$50.000 to $75.000,Price,Nest,1-5,Smart Features,No,34,Biometrics - fingerprint
Male,42,urban,$25.000 to $50.000,Convenience,Amazon Alexa,5-10,Safety,Yes,25,NFC
Male,25,rural,$25.000 to $50.000,Friend’s recommendation,Loxone,,Price,No,,Conventional key
Female,31,suburban,$150.000 or More,Durability,Loxone,1-5,Remote Access,No,46,Remote unlock by application
Female,30,suburban,$100.000 to $150.000,Quality,Google Home,1-5,Smart Features,No,21,Biometrics - photo
Male,30,rural,$100.000 to $150.000,Price,None of these,,Safety,No,47,Conventional key
Male,34,suburban,Less than $25.000,Price,None of these,,Safety,Yes,40,NFC
Female,29,urban,$75.000 to $100.000,Price,Nest,1-5,Price,No,39,Biometrics - fingerprint
Male,42,suburban,$50.000 to $75.000,Quality,Loxone,5-10,Price,No,30,Biometrics - eyescan
Male,24,suburban,$25.000 to $50.000,Price,Google Home,1-5,Price,No,62,Conventional key
Male,29,suburban,$100.000 to $150.000,Friend’s recommendation,Nest,1-5,Smart Features,No,12,Bluetooth
Male,40,suburban,Less than $25.000,Safety,None of these,,Safety,No,25,Conventional key
Female,31,urban,$150.000 or More,Quality,Apple Home Kit,10-15,Brand,Yes,39,Remote unlock by application
Male,23,urban,$25.000 to $50.000,Safety,Google Home,,Safety,No,,Biometrics - eyescan
Male,24,urban,$25.000 to $50.000,Safety,Amazon Alexa,5-10,Remote Access,Yes,74,Remote unlock by application
Male,30,urban,$50.000 to $75.000,Quality,Fibaro,1-5,Brand,Yes,56,Biometrics - photo
Male,26,rural,$50.000 to $75.000,Convenience,None of these,,Price,Yes,39,Biometrics - eyescan
Male,25,urban,$150.000 or More,Packaging,None of these,,Brand,Yes,35,Biometrics - fingerprint
Female,26,urban,$100.000 to $150.000,Friend’s recommendation,None of these,,Smart Features,Yes,47,Biometrics - eyescan
Female,37,suburban,$100.000 to $150.000,Packaging,None of these,,Smart Features,No,35,NFC
Male,35,urban,Less than $25.000,Price,Nest,5-10,Brand,No,25,Bluetooth
Male,39,suburban,$150.000 or More,Packaging,Nest,5-10,Remote Access,No,42,Biometrics - eyescan
Male,30,suburban,$100.000 to $150.000,Price,Loxone,1-5,Safety,No,42,Biometrics - photo
Male,31,urban,Less than $25.000,Friend’s recommendation,None of these,,Safety,Yes,25,Conventional key
Female,35,urban,$25.000 to $50.000,Price,None of these,,Safety,Yes,30,Remote unlock by application
Female,37,urban,$100.000 to $150.000,Friend’s recommendation,Nest,5-10,Price,No,46,Bluetooth
Female,22,suburban,$150.000 or More,Price,None of these,,Remote Access,No,57,Biometrics - fingerprint
Female,34,rural,$100.000 to $150.000,Price,None of these,,Price,No,32,Biometrics - fingerprint
Female,28,suburban,$100.000 to $150.000,Price,Amazon Alexa,5-10,Smart Features,Yes,33,NFC
Female,30,urban,$50.000 to $75.000,Price,Nest,1-5,Smart Features,No,39,NFC
Female,27,suburban,$50.000 to $75.000,Price,None of these,,Safety,Yes,31,Conventional key
Female,31,urban,$50.000 to $75.000,Brand,Nest,5-10,Price,No,37,Conventional key
Male,26,suburban,$100.000 to $150.000,Durability,Loxone,1-5,Safety,No,25,Remote unlock by application
Male,30,urban,$25.000 to $50.000,Price,Nest,10-15,Safety,No,44,Conventional key
Female,30,rural,$75.000 to $100.000,Price,None of these,,Brand,Yes,32,Biometrics - fingerprint
Male,37,suburban,Less than $25.000,Price,Loxone,5-10,Price,Yes,39,Conventional key
Male,30,suburban,$100.000 to $150.000,Durability,Apple Home Kit,>15,Brand,Yes,43,Biometrics - eyescan
Male,30,urban,$25.000 to $50.000,Price,Google Home,1-5,Price,No,35,Bluetooth
Female,31,urban,$50.000 to $75.000,Price,None of these,,Smart Features,No,38,Biometrics - fingerprint
Female,38,suburban,$50.000 to $75.000,Durability,None of these,,Smart Features,Yes,11,Remote unlock by application
Male,38,suburban,$100.000 to $150.000,Friend’s recommendation,None of these,,Brand,No,32,Biometrics - photo
Male,27,suburban,$150.000 or More,Friend’s recommendation,None of these,,Remote Access,No,47,Remote unlock by application
Male,33,urban,$25.000 to $50.000,Friend’s recommendation,Google Home,1-5,Price,No,6,Conventional key
Female,41,urban,$100.000 to $150.000,Price,None of these,,Smart Features,No,21,NFC
Female,39,suburban,$50.000 to $75.000,Price,None of these,,Price,No,35,Remote unlock by application
Male,31,rural,$50.000 to $75.000,Convenience,None of these,,Safety,No,47,Biometrics - photo
Female,28,urban,$150.000 or More,Quality,Loxone,5-10,Brand,No,17,Biometrics - photo
Female,28,urban,$25.000 to $50.000,Price,Fibaro,1-5,Price,No,41,Bluetooth
Female,34,suburban,$25.000 to $50.000,Brand,None of these,,Brand,Yes,,Bluetooth
Female,36,urban,$75.000 to $100.000,Convenience,Fibaro,,Safety,No,,Biometrics - photo
Female,40,suburban,$150.000 or More,Packaging,None of these,,Brand,No,,NFC
Male,51,suburban,$150.000 or More,Quality,Loxone,5-10,Safety,Yes,24,NFC
Male,40,rural,$50.000 to $75.000,Price,Loxone,1-5,Remote Access,No,33,Remote unlock by application
Female,29,suburban,$150.000 or More,Brand,Fibaro,1-5,Brand,No,59,Conventional key
Female,36,urban,$25.000 to $50.000,Safety,Google Home,5-10,Remote Access,No,33,Bluetooth
Female,30,urban,$150.000 or More,Quality,None of these,,Remote Access,Yes,42,Bluetooth
Male,35,urban,$25.000 to $50.000,Price,Amazon Alexa,10-15,Price,Yes,56,Remote unlock by application
Male,32,suburban,Less than $25.000,Friend’s recommendation,Google Home,1-5,Brand,No,18,Biometrics - fingerprint
Male,25,suburban,$50.000 to $75.000,Quality,Amazon Alexa,5-10,Price,No,44,Biometrics - fingerprint
Female,25,urban,$75.000 to $100.000,Brand,Nest,5-10,Safety,Yes,47,Remote unlock by application
Male,37,suburban,$100.000 to $150.000,Quality,Loxone,5-10,Smart Features,No,27,Biometrics - fingerprint
Female,28,suburban,$150.000 or More,Brand,None of these,,Price,Yes,,Conventional key
Female,27,rural,$75.000 to $100.000,Friend’s recommendation,Google Home,1-5,Safety,No,40,Remote unlock by application
Male,32,urban,Less than $25.000,Safety,None of these,,Safety,Yes,27,NFC
Female,46,urban,$150.000 or More,Convenience,Nest,5-10,Brand,No,25,Remote unlock by application
Female,25,rural,$25.000 to $50.000,Friend’s recommendation,Amazon Alexa,5-10,Safety,No,51,Biometrics - fingerprint
Female,28,suburban,$25.000 to $50.000,Packaging,None of these,,Safety,No,48,Conventional key
Male,47,urban,Less than $25.000,Safety,None of these,,Safety,Yes,14,Biometrics - photo
Male,46,urban,$75.000 to $100.000,Quality,None of these,,Safety,Yes,34,Biometrics - photo
Female,41,suburban,$50.000 to $75.000,Safety,None of these,,Safety,Yes,27,Conventional key
Male,28,urban,$25.000 to $50.000,Price,Amazon Alexa,5-10,Price,Yes,33,Bluetooth
Female,35,urban,$150.000 or More,Packaging,None of these,,Remote Access,Yes,66,Remote unlock by application
Male,46,suburban,$25.000 to $50.000,Price,Google Home,1-5,Remote Access,Yes,26,Bluetooth
Female,28,urban,Less than $25.000,Price,None of these,,Price,Yes,35,Biometrics - fingerprint
Female,31,urban,Less than $25.000,Price,None of these,,Price,Yes,53,Remote unlock by application
Male,24,rural,$50.000 to $75.000,Price,None of these,,Smart Features,Yes,45,Biometrics - photo
Male,36,suburban,$50.000 to $75.000,Brand,None of these,,Price,No,22,Conventional key
Male,31,suburban,$50.000 to $75.000,Brand,None of these,,Price,Yes,,Biometrics - photo
Male,29,suburban,$50.000 to $75.000,Price,None of these,,Safety,Yes,50,Conventional key
Female,35,suburban,$75.000 to $100.000,Friend’s recommendation,Loxone,5-10,Safety,No,35,Conventional key
Female,35,urban,$25.000 to $50.000,Friend’s recommendation,None of these,,Price,No,40,Conventional key
Female,32,urban,$100.000 to $150.000,Packaging,None of these,,Remote Access,No,32,Biometrics - photo
Female,41,urban,$100.000 to $150.000,Convenience,Nest,,Price,No,,Conventional key
Female,30,rural,$150.000 or More,Durability,Apple Home Kit,5-10,Smart Features,Yes,54,NFC
Male,37,urban,$25.000 to $50.000,Friend’s recommendation,None of these,,Price,No,38,Biometrics - photo
Female,36,urban,$25.000 to $50.000,Friend’s recommendation,Fibaro,1-5,Remote Access,No,45,Biometrics - eyescan
Male,35,suburban,$50.000 to $75.000,Friend’s recommendation,Amazon Alexa,5-10,Safety,No,30,Remote unlock by application
Female,30,suburban,$150.000 or More,Brand,Nest,1-5,Smart Features,No,67,Biometrics - photo
