Gender,Age,Area,Income,Feature,Brand,NumberOfDevices,Preference,Heard,ShoppingOnline,Unlock
Male,33,rural,Less than $25.000,Price,None of these,,Price,No,39,Biometrics - fingerprint
Male,34,rural,$100.000 to $150.000,Price,None of these,,Safety,No,,Biometrics - fingerprint
Male,37,suburban,$50.000 to $75.000,Price,Apple Home Kit,5-10,Brand,Yes,61,Biometrics - fingerprint
Male,47,urban,$100.000 to $150.000,Quality,None of these,,Remote Access,Yes,37,Remote unlock by application
Female,29,suburban,$25.000 to $50.000,Friend’s recommendation,Fibaro,10-15,Price,Yes,78,Biometrics - eyescan
Female,39,rural,$75.000 to $100.000,Quality,None of these,,Price,Yes,37,Biometrics - photo
Male,34,urban,$75.000 to $100.000,Quality,None of these,,Price,Yes,68,Bluetooth
Male,27,urban,$75.000 to $100.000,Friend’s recommendation,None of these,,Brand,Yes,,Biometrics - photo
Female,33,suburban,$150.000 or More,Quality,Amazon Alexa,10-15,Remote Access,Yes,53,Biometrics - eyescan
Male,37,rural,Less than $25.000,Brand,None of these,,Price,Yes,51,Biometrics - fingerprint
Male,31,urban,$75.000 to $100.000,Durability,None of these,,Price,Yes,,Biometrics - eyescan
Male,39,rural,$100.000 to $150.000,Durability,Google Home,1-5,Remote Access,Yes,47,Remote unlock by application
Female,36,suburban,$25.000 to $50.000,Price,Amazon Alexa,5-10,Safety,Yes,48,Biometrics - photo
Male,34,urban,$50.000 to $75.000,Quality,None of these,,Brand,Yes,,Biometrics - photo
Male,33,suburban,Less than $25.000,Packaging,None of these,,Price,No,44,Biometrics - fingerprint
Male,41,rural,$150.000 or More,Quality,Amazon Alexa,5-10,Safety,Yes,42,NFC
Male,33,urban,$75.000 to $100.000,Convenience,Apple Home Kit,,Safety,No,,Biometrics - eyescan
Male,34,urban,$25.000 to $50.000,Price,Amazon Alexa,5-10,Remote Access,No,59,Remote unlock by application
Male,37,rural,Less than $25.000,Durability,None of these,,Price,Yes,34,Biometrics - fingerprint
Female,31,suburban,$25.000 to $50.000,Friend’s recommendation,None of these,,Remote Access,Yes,48,Remote unlock by application
Male,30,urban,$50.000 to $75.000,Durability,Amazon Alexa,10-15,Safety,No,59,Conventional key
Male,37,urban,Less than $25.000,Safety,None of these,,Price,Yes,68,Conventional key
Female,33,urban,$100.000 to $150.000,Quality,None of these,,Smart Features,Yes,66,Biometrics - photo
Female,24,suburban,$25.000 to $50.000,Convenience,Google Home,,Remote Access,Yes,,Biometrics - fingerprint
Female,28,suburban,$75.000 to $100.000,Safety,Google Home,1-5,Safety,No,55,Biometrics - eyescan
Female,35,urban,$100.000 to $150.000,Packaging,None of these,,Price,Yes,48,NFC
Male,34,suburban,$25.000 to $50.000,Convenience,Loxone,5-10,Price,Yes,65,Remote unlock by application
Female,30,urban,$150.000 or More,Brand,None of these,,Brand,Yes,60,Biometrics - eyescan
Male,41,rural,$150.000 or More,Quality,Apple Home Kit,1-5,Remote Access,No,35,Remote unlock by application
Female,25,rural,$50.000 to $75.000,Price,None of these,,Safety,Yes,96,Biometrics - photo
Male,42,rural,$50.000 to $75.000,Durability,None of these,,Safety,No,,NFC
Male,43,suburban,$75.000 to $100.000,Safety,Google Home,10-15,Safety,Yes,48,Conventional key
Female,36,rural,$150.000 or More,Friend’s recommendation,Apple Home Kit,>15,Brand,Yes,46,Biometrics - photo
Male,36,urban,$100.000 to $150.000,Price,None of these,,Smart Features,Yes,,Remote unlock by application
Female,33,urban,$100.000 to $150.000,Friend’s recommendation,Amazon Alexa,10-15,Brand,Yes,50,Biometrics - fingerprint
Male,33,suburban,Less than $25.000,Price,Nest,5-10,Smart Features,Yes,57,Conventional key
Male,26,urban,$50.000 to $75.000,Durability,iNels,1-5,Safety,No,65,Biometrics - fingerprint
Female,48,rural,$150.000 or More,Friend’s recommendation,iNels,1-5,Brand,No,43,Bluetooth
Female,29,suburban,Less than $25.000,Price,None of these,,Remote Access,No,63,Remote unlock by application
Male,40,urban,$75.000 to $100.000,Convenience,Loxone,1-5,Price,No,49,Bluetooth
Male,32,urban,Less than $25.000,Safety,None of these,,Price,Yes,56,Biometrics - fingerprint
Female,41,rural,Less than $25.000,Friend’s recommendation,None of these,,Safety,No,46,Biometrics - photo
Female,35,rural,Less than $25.000,Safety,Nest,1-5,Price,No,55,Remote unlock by application
Male,30,urban,$50.000 to $75.000,Friend’s recommendation,iNels,1-5,Safety,No,51,Biometrics - photo
Male,39,urban,$100.000 to $150.000,Safety,None of these,,Price,Yes,52,Biometrics - fingerprint
Male,33,suburban,$25.000 to $50.000,Friend’s recommendation,Amazon Alexa,5-10,Price,No,45,Biometrics - eyescan
Female,28,urban,$25.000 to $50.000,Quality,Nest,5-10,Smart Features,Yes,57,Biometrics - eyescan
Female,51,urban,$50.000 to $75.000,Convenience,None of these,,Remote Access,No,,Biometrics - eyescan
Female,32,suburban,$25.000 to $50.000,Convenience,iNels,1-5,Safety,Yes,63,NFC
Female,47,urban,$50.000 to $75.000,Price,None of these,,Remote Access,Yes,34,Bluetooth
Female,30,suburban,$25.000 to $50.000,Friend’s recommendation,Nest,10-15,Safety,Yes,73,NFC
Male,33,suburban,$25.000 to $50.000,Durability,None of these,,Remote Access,Yes,67,Remote unlock by application
Female,36,suburban,$100.000 to $150.000,Price,Apple Home Kit,10-15,Brand,No,51,NFC
Male,38,suburban,$50.000 to $75.000,Quality,None of these,,Brand,Yes,37,Bluetooth
Male,43,urban,Less than $25.000,Safety,None of these,,Price,Yes,,Bluetooth
Male,28,suburban,$75.000 to $100.000,Quality,None of these,,Smart Features,Yes,60,Biometrics - photo
Male,39,rural,$150.000 or More,Quality,Amazon Alexa,>15,Remote Access,Yes,50,Bluetooth
Male,30,rural,$150.000 or More,Friend’s recommendation,None of these,,Brand,Yes,57,Conventional key
Female,39,rural,Less than $25.000,Price,None of these,,Safety,No,47,Biometrics - fingerprint
Female,31,suburban,$75.000 to $100.000,Safety,Apple Home Kit,10-15,Price,Yes,33,Bluetooth
Male,27,rural,$100.000 to $150.000,Friend’s recommendation,Amazon Alexa,5-10,Price,Yes,73,NFC
Female,32,suburban,$100.000 to $150.000,Quality,Amazon Alexa,10-15,Smart Features,Yes,39,Bluetooth
Female,36,urban,$100.000 to $150.000,Price,iNels,1-5,Safety,No,44,Biometrics - fingerprint
Female,28,urban,$50.000 to $75.000,Friend’s recommendation,Fibaro,5-10,Price,Yes,85,Biometrics - fingerprint
Female,49,urban,$100.000 to $150.000,Brand,Apple Home Kit,10-15,Remote Access,Yes,30,Biometrics - photo
Male,41,suburban,$150.000 or More,Friend’s recommendation,Apple Home Kit,10-15,Brand,Yes,56,Biometrics - fingerprint
Male,23,suburban,Less than $25.000,Price,None of these,,Safety,No,63,Biometrics - photo
Female,23,suburban,$75.000 to $100.000,Safety,Google Home,,Price,Yes,,Remote unlock by application
Female,28,rural,$25.000 to $50.000,Convenience,None of these,,Remote Access,No,65,Biometrics - photo
Female,44,suburban,$150.000 or More,Price,Google Home,5-10,Brand,No,36,Biometrics - photo
Male,38,suburban,$25.000 to $50.000,Friend’s recommendation,Apple Home Kit,>15,Price,Yes,58,Remote unlock by application
Female,26,rural,$150.000 or More,Brand,Amazon Alexa,>15,Brand,Yes,82,Biometrics - eyescan
Male,40,suburban,$25.000 to $50.000,Friend’s recommendation,None of these,,Brand,Yes,40,Biometrics - photo
Female,42,suburban,$75.000 to $100.000,Safety,Amazon Alexa,10-15,Safety,Yes,33,Biometrics - eyescan
Male,34,urban,$75.000 to $100.000,Friend’s recommendation,None of these,,Safety,Yes,63,Biometrics - eyescan
Male,50,rural,$150.000 or More,Convenience,None of these,,Smart Features,Yes,39,Remote unlock by application
Female,38,urban,$25.000 to $50.000,Price,Google Home,10-15,Smart Features,Yes,21,NFC
Male,42,suburban,$75.000 to $100.000,Packaging,Loxone,1-5,Safety,Yes,48,NFC
Female,31,suburban,Less than $25.000,Price,None of these,,Safety,No,60,Biometrics - eyescan
Female,30,suburban,Less than $25.000,Brand,Apple Home Kit,10-15,Price,Yes,65,Biometrics - eyescan
Female,37,suburban,$75.000 to $100.000,Quality,Loxone,1-5,Smart Features,No,52,Biometrics - photo
Female,26,suburban,Less than $25.000,Brand,None of these,,Price,No,44,Biometrics - fingerprint
Female,42,suburban,$50.000 to $75.000,Price,Apple Home Kit,10-15,Smart Features,Yes,48,Biometrics - fingerprint
Male,33,rural,$25.000 to $50.000,Packaging,Google Home,>15,Price,Yes,50,Biometrics - fingerprint
Male,26,urban,$50.000 to $75.000,Friend’s recommendation,None of these,,Price,Yes,91,Bluetooth
Female,36,suburban,$50.000 to $75.000,Safety,None of these,,Smart Features,No,48,Biometrics - fingerprint
Female,39,suburban,$50.000 to $75.000,Price,Loxone,5-10,Remote Access,Yes,44,Remote unlock by application
Female,30,urban,$75.000 to $100.000,Brand,Apple Home Kit,,Smart Features,Yes,,Biometrics - photo
Female,25,urban,$50.000 to $75.000,Brand,Loxone,1-5,Smart Features,No,68,Biometrics - photo
Female,29,rural,$150.000 or More,Quality,None of these,,Brand,Yes,53,Biometrics - eyescan
Female,40,suburban,$100.000 to $150.000,Brand,Fibaro,,Safety,Yes,,Biometrics - photo
Female,29,rural,$150.000 or More,Brand,None of these,,Price,No,63,Bluetooth
Male,38,rural,$50.000 to $75.000,Price,None of these,,Price,No,47,Conventional key
Female,41,urban,$75.000 to $100.000,Brand,None of these,,Smart Features,Yes,51,Biometrics - fingerprint
Female,29,urban,$150.000 or More,Brand,Apple Home Kit,>15,Brand,Yes,72,NFC
Female,27,suburban,$150.000 or More,Quality,Amazon Alexa,10-15,Remote Access,Yes,47,Remote unlock by application
Female,42,suburban,$100.000 to $150.000,Friend’s recommendation,Nest,10-15,Price,Yes,43,Bluetooth
Male,32,suburban,$75.000 to $100.000,Convenience,Google Home,1-5,Safety,Yes,49,Biometrics - photo
Female,49,suburban,Less than $25.000,Safety,iNels,1-5,Remote Access,No,42,Biometrics - eyescan
Male,34,suburban,$150.000 or More,Brand,Apple Home Kit,>15,Remote Access,Yes,43,Remote unlock by application
Male,37,suburban,Less than $25.000,Price,None of these,,Price,Yes,46,Remote unlock by application
Female,35,suburban,$150.000 or More,Quality,Amazon Alexa,5-10,Price,No,68,Biometrics - fingerprint
Male,27,suburban,Less than $25.000,Packaging,None of these,,Brand,Yes,72,Biometrics - fingerprint
Male,43,suburban,$75.000 to $100.000,Convenience,Apple Home Kit,,Safety,Yes,,NFC
Female,33,suburban,$50.000 to $75.000,Quality,Apple Home Kit,>15,Smart Features,Yes,45,Biometrics - fingerprint
Female,32,suburban,$50.000 to $75.000,Friend’s recommendation,Loxone,5-10,Price,Yes,41,Remote unlock by application
Female,36,suburban,$150.000 or More,Packaging,Apple Home Kit,10-15,Remote Access,No,47,Biometrics - eyescan
Male,36,suburban,$150.000 or More,Price,None of these,,Brand,Yes,51,Conventional key
Male,32,suburban,$150.000 or More,Friend’s recommendation,None of these,,Brand,No,50,Bluetooth
Male,32,suburban,$50.000 to $75.000,Price,None of these,,Price,Yes,60,Biometrics - fingerprint
Female,34,suburban,Less than $25.000,Friend’s recommendation,Amazon Alexa,10-15,Safety,Yes,49,Conventional key
Male,29,suburban,$100.000 to $150.000,Friend’s recommendation,Google Home,,Brand,Yes,,Biometrics - eyescan
Male,38,suburban,$100.000 to $150.000,Convenience,None of these,,Smart Features,No,58,Biometrics - fingerprint
Female,42,urban,$50.000 to $75.000,Friend’s recommendation,Apple Home Kit,,Brand,Yes,,Biometrics - photo
Female,25,suburban,$100.000 to $150.000,Price,Nest,5-10,Price,Yes,71,Bluetooth
Female,42,urban,$50.000 to $75.000,Packaging,Loxone,10-15,Safety,Yes,40,Remote unlock by application
Male,39,rural,$100.000 to $150.000,Price,Loxone,1-5,Brand,No,46,Biometrics - fingerprint
Female,36,urban,$100.000 to $150.000,Convenience,Apple Home Kit,10-15,Brand,Yes,40,Biometrics - eyescan
Male,37,suburban,$100.000 to $150.000,Packaging,None of these,,Smart Features,Yes,51,Bluetooth
Male,34,rural,$50.000 to $75.000,Price,None of these,,Safety,Yes,,Conventional key
Female,36,urban,$50.000 to $75.000,Price,Loxone,5-10,Safety,Yes,36,Biometrics - photo
Male,32,suburban,$75.000 to $100.000,Quality,None of these,,Safety,Yes,52,Biometrics - photo
Female,44,rural,$75.000 to $100.000,Friend’s recommendation,Loxone,1-5,Safety,Yes,41,NFC
Female,33,rural,$100.000 to $150.000,Convenience,Loxone,1-5,Safety,No,55,Biometrics - eyescan
Female,25,suburban,$25.000 to $50.000,Quality,Fibaro,1-5,Remote Access,Yes,57,Biometrics - fingerprint
Male,32,suburban,$150.000 or More,Safety,None of these,,Brand,Yes,40,Biometrics - eyescan
Male,30,urban,$75.000 to $100.000,Brand,None of these,,Brand,Yes,56,Biometrics - photo
Female,34,urban,$100.000 to $150.000,Price,Google Home,10-15,Price,Yes,79,Remote unlock by application
Male,44,suburban,$150.000 or More,Packaging,None of these,,Remote Access,No,41,Biometrics - fingerprint
Female,37,suburban,Less than $25.000,Price,None of these,,Remote Access,Yes,,Biometrics - photo
Female,46,suburban,$75.000 to $100.000,Safety,None of these,,Remote Access,Yes,18,Biometrics - photo
Male,51,rural,Less than $25.000,Friend’s recommendation,None of these,,Remote Access,No,34,NFC
Male,36,suburban,$100.000 to $150.000,Brand,Google Home,>15,Smart Features,Yes,45,Biometrics - fingerprint
Male,28,urban,$25.000 to $50.000,Durability,Apple Home Kit,1-5,Brand,No,58,Biometrics - fingerprint
Female,43,suburban,$25.000 to $50.000,Friend’s recommendation,None of these,,Price,Yes,44,Biometrics - photo
Male,39,rural,$75.000 to $100.000,Packaging,Google Home,1-5,Smart Features,No,50,NFC
Male,38,urban,$150.000 or More,Packaging,None of these,,Safety,No,52,Biometrics - photo
Female,36,suburban,Less than $25.000,Packaging,Amazon Alexa,5-10,Remote Access,Yes,70,Biometrics - photo
Male,35,urban,$150.000 or More,Safety,Loxone,1-5,Safety,No,62,Conventional key
Female,28,suburban,$150.000 or More,Quality,None of these,,Smart Features,Yes,57,NFC
Female,28,suburban,$75.000 to $100.000,Safety,None of these,,Price,No,72,Bluetooth
Male,38,urban,$25.000 to $50.000,Friend’s recommendation,Google Home,1-5,Safety,Yes,32,Conventional key
Female,36,urban,$50.000 to $75.000,Brand,None of these,,Smart Features,Yes,41,Biometrics - photo
Male,28,urban,$150.000 or More,Brand,Loxone,,Remote Access,Yes,,Biometrics - fingerprint
Male,37,suburban,$75.000 to $100.000,Packaging,Google Home,1-5,Price,No,55,Biometrics - eyescan
Male,49,rural,$50.000 to $75.000,Packaging,Nest,1-5,Brand,No,37,Biometrics - eyescan
Female,39,urban,$75.000 to $100.000,Quality,Amazon Alexa,10-15,Brand,No,39,Biometrics - photo
Male,26,urban,$100.000 to $150.000,Friend’s recommendation,None of these,,Safety,Yes,64,Conventional key
Male,45,suburban,$25.000 to $50.000,Quality,Nest,,Safety,Yes,,Remote unlock by application
Female,42,suburban,$100.000 to $150.000,Quality,None of these,,Brand,No,,Biometrics - eyescan
Male,43,suburban,$150.000 or More,Quality,Nest,1-5,Safety,No,41,Conventional key
Female,36,urban,Less than $25.000,Price,Amazon Alexa,>15,Price,Yes,49,Biometrics - eyescan
Male,32,urban,$150.000 or More,Brand,Nest,5-10,Safety,Yes,51,Biometrics - photo
Male,31,rural,$50.000 to $75.000,Packaging,None of these,,Price,Yes,48,Biometrics - fingerprint
Male,32,urban,$100.000 to $150.000,Safety,None of these,,Brand,Yes,50,Biometrics - photo
Male,38,urban,$75.000 to $100.000,Price,Amazon Alexa,>15,Price,Yes,46,Remote unlock by application
Male,32,suburban,Less than $25.000,Price,None of these,,Smart Features,No,54,Biometrics - eyescan
Female,31,suburban,$75.000 to $100.000,Friend’s recommendation,Google Home,1-5,Safety,No,67,Biometrics - eyescan
Female,30,suburban,$150.000 or More,Quality,None of these,,Smart Features,Yes,61,Biometrics - fingerprint
Female,33,suburban,$100.000 to $150.000,Safety,None of these,,Safety,Yes,61,Biometrics - fingerprint
Male,31,rural,$150.000 or More,Brand,Amazon Alexa,>15,Remote Access,Yes,64,Biometrics - photo
Female,36,urban,$25.000 to $50.000,Quality,Nest,10-15,Safety,Yes,59,Biometrics - eyescan
Female,34,suburban,$50.000 to $75.000,Convenience,Google Home,,Price,No,,NFC
Female,43,suburban,$50.000 to $75.000,Price,Loxone,5-10,Brand,Yes,51,Biometrics - fingerprint
Male,33,suburban,$100.000 to $150.000,Friend’s recommendation,Nest,,Price,No,,Biometrics - photo
Female,26,suburban,$150.000 or More,Friend’s recommendation,None of these,,Brand,Yes,86,Conventional key
Female,32,suburban,$25.000 to $50.000,Packaging,None of these,,Smart Features,Yes,55,Biometrics - eyescan
Male,53,suburban,$150.000 or More,Brand,Fibaro,1-5,Brand,No,32,Biometrics - fingerprint
Female,33,suburban,$25.000 to $50.000,Price,None of these,,Remote Access,No,,Remote unlock by application
Male,28,rural,$25.000 to $50.000,Price,None of these,,Smart Features,No,73,Biometrics - eyescan
Female,31,suburban,$50.000 to $75.000,Convenience,None of these,,Safety,Yes,44,NFC
Female,23,urban,$50.000 to $75.000,Friend’s recommendation,Amazon Alexa,>15,Smart Features,Yes,91,NFC
Female,31,rural,$75.000 to $100.000,Quality,Fibaro,10-15,Safety,Yes,49,Biometrics - photo
Female,33,urban,$75.000 to $100.000,Durability,Loxone,1-5,Brand,Yes,72,Biometrics - fingerprint
Female,24,urban,Less than $25.000,Brand,Nest,5-10,Price,No,52,Biometrics - fingerprint
Female,33,suburban,$25.000 to $50.000,Safety,Nest,10-15,Safety,No,70,Biometrics - photo
Female,46,rural,Less than $25.000,Durability,None of these,,Price,Yes,,NFC
Female,31,suburban,$150.000 or More,Friend’s recommendation,Amazon Alexa,10-15,Remote Access,Yes,50,Remote unlock by application
Male,33,suburban,$25.000 to $50.000,Price,Amazon Alexa,10-15,Safety,Yes,48,Biometrics - fingerprint
Male,35,suburban,Less than $25.000,Durability,Amazon Alexa,10-15,Brand,No,44,Biometrics - fingerprint
Male,34,suburban,$150.000 or More,Price,Amazon Alexa,10-15,Price,Yes,71,Biometrics - eyescan
Male,36,suburban,$100.000 to $150.000,Convenience,Google Home,10-15,Smart Features,Yes,56,NFC
Male,33,rural,$100.000 to $150.000,Quality,None of these,,Smart Features,No,35,Biometrics - photo
Female,37,rural,$50.000 to $75.000,Price,iNels,1-5,Brand,No,46,Biometrics - fingerprint
Male,31,rural,Less than $25.000,Durability,None of these,,Brand,Yes,54,Biometrics - fingerprint
Male,36,rural,$75.000 to $100.000,Price,Loxone,5-10,Price,Yes,41,Biometrics - fingerprint
Male,32,urban,$50.000 to $75.000,Quality,None of these,,Brand,Yes,,Biometrics - photo
Female,41,rural,$100.000 to $150.000,Friend’s recommendation,Amazon Alexa,10-15,Safety,Yes,44,Biometrics - fingerprint
Female,28,urban,$50.000 to $75.000,Price,None of these,,Smart Features,Yes,76,Biometrics - fingerprint
Male,35,urban,Less than $25.000,Price,Nest,5-10,Price,Yes,74,Biometrics - fingerprint
Male,39,urban,$150.000 or More,Quality,Loxone,1-5,Smart Features,No,56,Bluetooth
Male,46,rural,$25.000 to $50.000,Friend’s recommendation,Google Home,,Brand,No,,Bluetooth
Female,27,suburban,$25.000 to $50.000,Safety,Fibaro,1-5,Safety,No,60,Biometrics - photo
Male,40,suburban,Less than $25.000,Safety,None of these,,Remote Access,No,49,Biometrics - eyescan
Female,45,rural,$100.000 to $150.000,Friend’s recommendation,Amazon Alexa,10-15,Safety,Yes,31,Remote unlock by application
Female,29,suburban,$75.000 to $100.000,Brand,Loxone,1-5,Smart Features,No,53,Biometrics - eyescan
Female,31,suburban,Less than $25.000,Safety,Nest,5-10,Brand,Yes,53,Bluetooth
Female,50,suburban,Less than $25.000,Price,None of these,,Price,No,37,Biometrics - photo
Male,39,rural,Less than $25.000,Durability,None of these,,Price,No,43,Bluetooth
Male,39,rural,$150.000 or More,Brand,None of these,,Brand,No,55,Biometrics - photo
Female,29,urban,$50.000 to $75.000,Price,None of these,,Smart Features,Yes,68,Biometrics - eyescan
Female,48,suburban,$50.000 to $75.000,Quality,Google Home,1-5,Safety,Yes,32,Biometrics - eyescan
Male,28,urban,Less than $25.000,Friend’s recommendation,Nest,1-5,Safety,Yes,67,Biometrics - eyescan
Female,35,urban,$25.000 to $50.000,Durability,Nest,5-10,Safety,Yes,59,Biometrics - fingerprint
Male,43,rural,$50.000 to $75.000,Price,None of these,,Smart Features,No,49,Biometrics - photo
Female,32,suburban,Less than $25.000,Packaging,Nest,1-5,Brand,No,52,Remote unlock by application
Male,32,rural,$100.000 to $150.000,Convenience,None of these,,Brand,Yes,,Biometrics - fingerprint
Male,38,urban,$150.000 or More,Durability,Amazon Alexa,>15,Price,Yes,36,Biometrics - photo
Female,35,urban,$100.000 to $150.000,Safety,Google Home,1-5,Smart Features,No,41,Bluetooth
Female,51,suburban,$75.000 to $100.000,Friend’s recommendation,None of these,,Safety,No,29,Biometrics - photo
Female,38,urban,$50.000 to $75.000,Durability,Loxone,1-5,Smart Features,Yes,51,Biometrics - eyescan
Male,36,suburban,$50.000 to $75.000,Brand,Apple Home Kit,>15,Safety,Yes,49,Biometrics - photo
Female,40,urban,$25.000 to $50.000,Price,None of these,,Price,Yes,35,Conventional key
Male,29,urban,$50.000 to $75.000,Durability,Fibaro,5-10,Safety,Yes,63,Biometrics - eyescan
Female,31,suburban,$25.000 to $50.000,Convenience,Amazon Alexa,>15,Brand,Yes,55,Conventional key
Male,31,suburban,$25.000 to $50.000,Durability,Amazon Alexa,10-15,Remote Access,No,48,Biometrics - photo
Female,31,suburban,$50.000 to $75.000,Convenience,None of these,,Safety,Yes,,Biometrics - fingerprint
Female,32,urban,$150.000 or More,Friend’s recommendation,None of these,,Brand,Yes,48,Biometrics - photo
