Gender,Age,Area,Income,Feature,Brand,NumberOfDevices,Preference,Heard,ShoppingOnline,Unlock
Female,44,rural,Less than $25.000,Safety,None of these,,Safety,Yes,48,Biometrics - photo
Female,45,rural,$150.000 or More,Quality,Amazon Alexa,>15,Remote Access,Yes,45,Bluetooth
Male,37,rural,$50.000 to $75.000,Quality,Amazon Alexa,5-10,Safety,Yes,59,NFC
Female,46,urban,$150.000 or More,Friend’s recommendation,None of these,,Safety,No,66,Biometrics - fingerprint
Male,45,suburban,$25.000 to $50.000,Brand,Loxone,5-10,Price,Yes,52,Remote unlock by application
Female,38,urban,$25.000 to $50.000,Brand,None of these,,Safety,No,63,Biometrics - eyescan
Male,39,urban,Less than $25.000,Durability,None of these,,Safety,No,75,Conventional key
Female,50,rural,Less than $25.000,Quality,Fibaro,5-10,Price,No,40,Bluetooth
Male,49,rural,$25.000 to $50.000,Convenience,Fibaro,>15,Price,Yes,49,Remote unlock by application
Female,40,suburban,$150.000 or More,Friend’s recommendation,None of these,,Brand,No,54,Conventional key
Male,41,urban,$25.000 to $50.000,Convenience,Fibaro,5-10,Smart Features,Yes,51,Biometrics - fingerprint
Male,30,suburban,$25.000 to $50.000,Price,Nest,5-10,Brand,Yes,74,Conventional key
Female,32,urban,$50.000 to $75.000,Quality,None of these,,Safety,Yes,67,Conventional key
Male,31,urban,$150.000 or More,Friend’s recommendation,Apple Home Kit,>15,Safety,Yes,68,Conventional key
Female,44,suburban,Less than $25.000,Safety,None of these,,Smart Features,Yes,48,NFC
Male,50,suburban,$50.000 to $75.000,Durability,Google Home,10-15,Brand,Yes,44,Biometrics - fingerprint
Female,42,urban,$75.000 to $100.000,Quality,Google Home,5-10,Brand,Yes,58,NFC
Male,48,rural,$75.000 to $100.000,Friend’s recommendation,Amazon Alexa,5-10,Safety,Yes,39,Biometrics - photo
Male,39,suburban,$150.000 or More,Brand,Loxone,1-5,Remote Access,No,59,Remote unlock by application
Female,43,urban,$25.000 to $50.000,Safety,Apple Home Kit,>15,Smart Features,Yes,54,Biometrics - fingerprint
Male,38,suburban,$100.000 to $150.000,Convenience,Google Home,5-10,Safety,Yes,57,NFC
Female,30,suburban,$150.000 or More,Brand,Amazon Alexa,,Safety,No,,Biometrics - fingerprint
Female,27,rural,$25.000 to $50.000,Brand,Google Home,10-15,Price,Yes,89,Biometrics - photo
Female,45,urban,$25.000 to $50.000,Durability,None of these,,Price,No,50,Remote unlock by application
Male,48,suburban,$50.000 to $75.000,Convenience,None of these,,Safety,No,52,Biometrics - photo
Male,41,suburban,$150.000 or More,Quality,None of these,,Brand,Yes,48,Remote unlock by application
Male,36,rural,Less than $25.000,Safety,None of these,,Price,No,63,Conventional key
Male,33,rural,$50.000 to $75.000,Convenience,None of these,,Brand,No,,Biometrics - eyescan
Female,40,rural,$150.000 or More,Brand,Loxone,10-15,Smart Features,Yes,63,Biometrics - fingerprint
Female,42,suburban,$150.000 or More,Durability,None of these,,Smart Features,No,,Biometrics - eyescan
Male,39,rural,$25.000 to $50.000,Durability,None of these,,Brand,No,60,Biometrics - fingerprint
Female,39,urban,Less than $25.000,Price,None of these,,Smart Features,No,50,NFC
Female,43,rural,$25.000 to $50.000,Price,Google Home,,Safety,Yes,,Conventional key
Female,42,suburban,Less than $25.000,Price,iNels,1-5,Safety,Yes,41,Biometrics - photo
Male,32,rural,$25.000 to $50.000,Packaging,None of these,,Remote Access,Yes,67,Remote unlock by application
Female,31,urban,$25.000 to $50.000,Friend’s recommendation,Google Home,1-5,Price,No,66,Remote unlock by application
Female,41,urban,$100.000 to $150.000,Convenience,Loxone,5-10,Smart Features,Yes,62,Biometrics - eyescan
Male,40,urban,$75.000 to $100.000,Safety,Amazon Alexa,>15,Safety,Yes,57,Biometrics - fingerprint
Male,43,rural,Less than $25.000,Friend’s recommendation,Apple Home Kit,>15,Safety,Yes,43,Conventional key
Male,38,urban,$75.000 to $100.000,Durability,Amazon Alexa,5-10,Price,Yes,65,Biometrics - fingerprint
Male,45,urban,$50.000 to $75.000,Durability,Google Home,10-15,Safety,Yes,49,NFC
Female,43,suburban,$75.000 to $100.000,Price,Google Home,10-15,Safety,Yes,59,Biometrics - eyescan
Female,39,rural,Less than $25.000,Price,Nest,1-5,Price,No,49,Remote unlock by application
Male,32,suburban,$100.000 to $150.000,Price,None of these,,Smart Features,Yes,59,NFC
Male,43,urban,$50.000 to $75.000,Convenience,None of these,,Brand,No,55,Biometrics - fingerprint
Male,36,urban,Less than $25.000,Safety,None of these,,Remote Access,Yes,,Remote unlock by application
Female,28,rural,$100.000 to $150.000,Safety,Amazon Alexa,1-5,Remote Access,No,78,Biometrics - eyescan
Male,34,suburban,$150.000 or More,Quality,Loxone,1-5,Remote Access,No,70,Remote unlock by application
Male,61,rural,$150.000 or More,Friend’s recommendation,Loxone,>15,Brand,Yes,41,Remote unlock by application
Female,39,urban,$25.000 to $50.000,Friend’s recommendation,Fibaro,1-5,Safety,No,53,Biometrics - eyescan
Male,49,rural,Less than $25.000,Quality,Loxone,>15,Safety,Yes,40,Biometrics - photo
Female,35,urban,$100.000 to $150.000,Convenience,Amazon Alexa,10-15,Brand,Yes,47,Biometrics - eyescan
Female,37,rural,$75.000 to $100.000,Quality,Google Home,1-5,Brand,No,62,Biometrics - eyescan
Female,29,urban,$75.000 to $100.000,Safety,Google Home,5-10,Safety,Yes,65,NFC
Female,55,suburban,Less than $25.000,Price,Google Home,10-15,Price,Yes,49,Conventional key
Female,45,rural,$25.000 to $50.000,Quality,iNels,1-5,Remote Access,No,57,Biometrics - fingerprint
Female,39,urban,$100.000 to $150.000,Friend’s recommendation,Apple Home Kit,>15,Safety,Yes,45,Biometrics - photo
Female,40,suburban,$50.000 to $75.000,Convenience,iNels,1-5,Safety,Yes,51,Biometrics - eyescan
Male,33,suburban,$50.000 to $75.000,Friend’s recommendation,Amazon Alexa,5-10,Brand,No,72,Biometrics - fingerprint
Male,35,suburban,$25.000 to $50.000,Price,None of these,,Smart Features,Yes,88,NFC
Female,35,rural,$100.000 to $150.000,Brand,None of these,,Smart Features,No,75,Biometrics - fingerprint
Male,58,rural,Less than $25.000,Price,Fibaro,1-5,Safety,No,33,Biometrics - eyescan
Female,42,urban,Less than $25.000,Price,Google Home,10-15,Smart Features,Yes,74,NFC
Female,42,suburban,Less than $25.000,Brand,Google Home,>15,Remote Access,Yes,40,Biometrics - eyescan
Male,36,suburban,$100.000 to $150.000,Brand,Apple Home Kit,10-15,Price,No,54,Biometrics - photo
Male,44,rural,$100.000 to $150.000,Convenience,Fibaro,5-10,Brand,Yes,55,Conventional key
Female,34,rural,$150.000 or More,Quality,Loxone,,Smart Features,Yes,,NFC
Female,48,urban,$75.000 to $100.000,Quality,None of these,,Smart Features,Yes,43,Bluetooth
Male,36,urban,$75.000 to $100.000,Packaging,Apple Home Kit,5-10,Price,Yes,59,Remote unlock by application
Female,44,rural,Less than $25.000,Quality,iNels,1-5,Smart Features,No,61,Biometrics - eyescan
Male,34,suburban,Less than $25.000,Durability,Nest,,Safety,Yes,,Biometrics - eyescan
Female,34,suburban,$50.000 to $75.000,Brand,None of these,,Price,Yes,59,Biometrics - fingerprint
Female,33,suburban,$50.000 to $75.000,Friend’s recommendation,None of these,,Safety,No,64,Remote unlock by application
Male,30,rural,$75.000 to $100.000,Safety,None of these,,Safety,Yes,72,Biometrics - fingerprint
Male,39,rural,Less than $25.000,Durability,Fibaro,>15,Price,Yes,64,Remote unlock by application
Male,51,suburban,$100.000 to $150.000,Quality,None of these,,Safety,No,35,Conventional key
Male,33,suburban,$75.000 to $100.000,Safety,iNels,1-5,Safety,Yes,67,NFC
Male,45,urban,$75.000 to $100.000,Brand,Amazon Alexa,10-15,Safety,Yes,50,Remote unlock by application
Female,30,suburban,$75.000 to $100.000,Safety,Apple Home Kit,10-15,Smart Features,Yes,77,Remote unlock by application
Male,42,suburban,$25.000 to $50.000,Safety,iNels,,Price,Yes,,Remote unlock by application
Male,44,urban,$50.000 to $75.000,Friend’s recommendation,Loxone,1-5,Safety,No,51,Biometrics - photo
Female,37,suburban,$25.000 to $50.000,Friend’s recommendation,Fibaro,5-10,Price,Yes,52,Remote unlock by application
Male,40,suburban,$150.000 or More,Brand,None of these,,Remote Access,No,55,Biometrics - photo
Male,41,rural,$50.000 to $75.000,Durability,None of these,,Smart Features,No,62,Biometrics - fingerprint
Male,42,urban,$150.000 or More,Brand,Loxone,1-5,Brand,Yes,49,Biometrics - fingerprint
Female,40,suburban,$100.000 to $150.000,Price,Apple Home Kit,10-15,Safety,Yes,52,Biometrics - eyescan
Female,41,suburban,$100.000 to $150.000,Price,Apple Home Kit,10-15,Smart Features,Yes,53,Biometrics - fingerprint
Female,38,suburban,$150.000 or More,Friend’s recommendation,iNels,1-5,Remote Access,No,51,Remote unlock by application
Female,35,urban,$75.000 to $100.000,Brand,Apple Home Kit,5-10,Price,Yes,76,NFC
Male,39,urban,Less than $25.000,Price,Fibaro,>15,Price,Yes,36,Biometrics - eyescan
Female,36,rural,Less than $25.000,Quality,None of these,,Price,Yes,52,Bluetooth
Male,40,urban,$100.000 to $150.000,Price,Loxone,1-5,Smart Features,Yes,70,NFC
Male,29,suburban,$75.000 to $100.000,Friend’s recommendation,Nest,1-5,Brand,No,78,Conventional key
Female,51,urban,$75.000 to $100.000,Friend’s recommendation,None of these,,Price,Yes,28,Biometrics - fingerprint
Female,46,suburban,$150.000 or More,Brand,None of these,,Safety,Yes,46,NFC
Female,33,suburban,Less than $25.000,Brand,None of these,,Safety,No,62,Biometrics - fingerprint
Male,36,rural,$75.000 to $100.000,Safety,Loxone,1-5,Safety,Yes,56,NFC
Male,36,urban,Less than $25.000,Quality,None of these,,Price,Yes,67,NFC
Female,38,suburban,$150.000 or More,Brand,None of these,,Brand,No,69,Biometrics - fingerprint
Female,35,suburban,$150.000 or More,Quality,Loxone,5-10,Smart Features,Yes,58,Biometrics - eyescan
Female,38,suburban,$75.000 to $100.000,Price,None of these,,Safety,Yes,,Biometrics - eyescan
Male,40,suburban,$50.000 to $75.000,Quality,Amazon Alexa,10-15,Price,Yes,65,Biometrics - photo
Female,52,suburban,Less than $25.000,Brand,Nest,1-5,Safety,Yes,50,Biometrics - fingerprint
Female,46,suburban,$25.000 to $50.000,Durability,None of these,,Safety,No,52,NFC
Female,37,rural,$25.000 to $50.000,Price,None of these,,Safety,No,74,NFC
Female,29,urban,$25.000 to $50.000,Price,Fibaro,1-5,Safety,Yes,68,Remote unlock by application
Male,45,rural,$100.000 to $150.000,Quality,None of these,,Remote Access,Yes,41,Remote unlock by application
Male,42,urban,$150.000 or More,Quality,iNels,1-5,Safety,No,43,NFC
Male,43,rural,Less than $25.000,Durability,iNels,,Safety,Yes,,Remote unlock by application
Male,45,suburban,Less than $25.000,Brand,iNels,1-5,Safety,No,44,Remote unlock by application
Female,52,rural,$150.000 or More,Friend’s recommendation,Loxone,5-10,Safety,Yes,43,NFC
Female,40,urban,$100.000 to $150.000,Durability,Loxone,1-5,Safety,Yes,84,Biometrics - fingerprint
Female,47,urban,$150.000 or More,Brand,Fibaro,5-10,Smart Features,Yes,38,NFC
Female,42,rural,$50.000 to $75.000,Convenience,Fibaro,5-10,Safety,Yes,70,NFC
Female,33,urban,$25.000 to $50.000,Convenience,Loxone,10-15,Safety,Yes,78,Biometrics - eyescan
Female,28,urban,$150.000 or More,Friend’s recommendation,Loxone,1-5,Remote Access,No,92,Biometrics - photo
Female,63,suburban,$150.000 or More,Brand,Amazon Alexa,1-5,Brand,No,29,Bluetooth
Male,34,rural,$50.000 to $75.000,Durability,None of these,,Remote Access,No,63,Biometrics - fingerprint
Male,34,rural,$75.000 to $100.000,Quality,Nest,1-5,Safety,No,89,Biometrics - eyescan
Female,35,urban,$100.000 to $150.000,Friend’s recommendation,Loxone,1-5,Brand,No,69,Biometrics - photo
Male,37,urban,$75.000 to $100.000,Price,Loxone,5-10,Safety,Yes,53,Biometrics - photo
Female,39,suburban,Less than $25.000,Quality,None of these,,Remote Access,Yes,55,Bluetooth
Male,35,suburban,$150.000 or More,Quality,Nest,1-5,Safety,Yes,61,NFC
Male,35,urban,$50.000 to $75.000,Price,Google Home,10-15,Safety,Yes,65,Biometrics - photo
Female,38,urban,Less than $25.000,Durability,None of these,,Price,Yes,59,Remote unlock by application
Female,48,rural,$100.000 to $150.000,Friend’s recommendation,Google Home,10-15,Safety,Yes,32,Conventional key
Female,46,urban,Less than $25.000,Safety,None of these,,Remote Access,Yes,57,Bluetooth
Female,53,urban,Less than $25.000,Durability,None of these,,Price,No,40,Remote unlock by application
Male,32,urban,$150.000 or More,Brand,Fibaro,5-10,Safety,No,61,Biometrics - photo
Female,43,rural,$75.000 to $100.000,Safety,Amazon Alexa,5-10,Safety,Yes,51,Conventional key
Female,51,urban,Less than $25.000,Safety,None of these,,Safety,Yes,39,Biometrics - photo
Male,40,rural,Less than $25.000,Durability,None of these,,Price,No,58,Biometrics - fingerprint
Male,45,suburban,Less than $25.000,Safety,Google Home,>15,Safety,Yes,52,Biometrics - eyescan
Female,37,rural,$50.000 to $75.000,Brand,None of these,,Safety,No,60,Conventional key
Male,39,rural,$25.000 to $50.000,Brand,Nest,10-15,Safety,Yes,52,NFC
Female,33,suburban,$150.000 or More,Brand,Amazon Alexa,>15,Brand,Yes,51,Biometrics - photo
Male,42,suburban,Less than $25.000,Durability,Fibaro,1-5,Brand,Yes,62,Conventional key
Female,43,urban,$150.000 or More,Friend’s recommendation,Amazon Alexa,10-15,Safety,Yes,61,Biometrics - eyescan
Female,39,urban,Less than $25.000,Brand,None of these,,Price,No,62,Bluetooth
Male,47,suburban,$75.000 to $100.000,Quality,Fibaro,1-5,Safety,No,43,Conventional key
Male,41,rural,$150.000 or More,Friend’s recommendation,Amazon Alexa,>15,Safety,Yes,58,NFC
Male,30,suburban,$100.000 to $150.000,Brand,Google Home,1-5,Remote Access,Yes,86,Biometrics - eyescan
Male,45,suburban,Less than $25.000,Price,Nest,10-15,Smart Features,Yes,41,NFC
Male,42,urban,$75.000 to $100.000,Safety,None of these,,Safety,No,53,Biometrics - photo
Male,33,suburban,$150.000 or More,Brand,None of these,,Smart Features,Yes,72,Conventional key
Female,43,urban,$75.000 to $100.000,Safety,Apple Home Kit,,Remote Access,Yes,,Remote unlock by application
Female,32,suburban,$50.000 to $75.000,Quality,Amazon Alexa,5-10,Smart Features,Yes,41,NFC
Female,40,urban,$50.000 to $75.000,Friend’s recommendation,Google Home,5-10,Safety,No,57,Biometrics - fingerprint
Female,35,rural,$50.000 to $75.000,Durability,Amazon Alexa,5-10,Price,Yes,62,Biometrics - fingerprint
Male,40,urban,$75.000 to $100.000,Price,Google Home,10-15,Price,Yes,58,Biometrics - eyescan
Male,46,rural,$150.000 or More,Quality,Amazon Alexa,10-15,Smart Features,No,42,Biometrics - fingerprint
Male,44,urban,$25.000 to $50.000,Friend’s recommendation,Loxone,,Price,Yes,,Remote unlock by application
Male,38,urban,$150.000 or More,Packaging,Loxone,1-5,Brand,Yes,67,Conventional key
Female,32,rural,$75.000 to $100.000,Friend’s recommendation,None of these,,Price,Yes,55,Biometrics - fingerprint
Male,42,suburban,$75.000 to $100.000,Brand,Fibaro,1-5,Smart Features,Yes,48,Biometrics - eyescan
Male,42,suburban,$25.000 to $50.000,Convenience,None of these,,Remote Access,No,46,Bluetooth
Male,33,suburban,$150.000 or More,Friend’s recommendation,None of these,,Brand,No,,Biometrics - photo
Female,42,urban,$75.000 to $100.000,Quality,None of these,,Safety,No,57,Remote unlock by application
Female,38,urban,$100.000 to $150.000,Convenience,None of these,,Safety,No,55,Biometrics - fingerprint
Male,36,suburban,Less than $25.000,Quality,Fibaro,1-5,Smart Features,No,58,Biometrics - fingerprint
Female,36,rural,$150.000 or More,Convenience,Loxone,,Remote Access,Yes,,Biometrics - photo
Male,38,urban,$150.000 or More,Friend’s recommendation,Apple Home Kit,5-10,Brand,No,48,NFC
Female,40,urban,$25.000 to $50.000,Friend’s recommendation,None of these,,Price,Yes,58,Remote unlock by application
Male,36,urban,$100.000 to $150.000,Friend’s recommendation,None of these,,Price,No,48,NFC
Male,26,urban,$25.000 to $50.000,Safety,Google Home,1-5,Safety,No,57,Biometrics - fingerprint
Male,37,suburban,$50.000 to $75.000,Quality,None of these,,Price,No,74,Biometrics - photo
Male,44,rural,$75.000 to $100.000,Friend’s recommendation,None of these,,Smart Features,No,44,NFC
Male,53,suburban,$75.000 to $100.000,Friend’s recommendation,Apple Home Kit,>15,Brand,Yes,41,Biometrics - eyescan
Female,33,suburban,$100.000 to $150.000,Friend’s recommendation,Apple Home Kit,1-5,Safety,No,82,Remote unlock by application
Male,44,rural,$25.000 to $50.000,Quality,None of these,,Price,No,,Remote unlock by application
Male,30,urban,$25.000 to $50.000,Friend’s recommendation,Google Home,1-5,Remote Access,No,77,Remote unlock by application
Female,44,suburban,Less than $25.000,Quality,Nest,,Safety,No,,NFC
Male,38,rural,$25.000 to $50.000,Price,None of these,,Price,No,,Biometrics - photo
Female,45,suburban,$25.000 to $50.000,Convenience,iNels,1-5,Safety,Yes,58,Biometrics - photo
Female,32,urban,$100.000 to $150.000,Quality,Apple Home Kit,5-10,Smart Features,Yes,83,Biometrics - eyescan
Female,40,urban,$75.000 to $100.000,Price,Amazon Alexa,5-10,Safety,Yes,49,Biometrics - eyescan
Female,44,urban,Less than $25.000,Friend’s recommendation,None of these,,Remote Access,No,56,Remote unlock by application
Male,42,rural,$25.000 to $50.000,Convenience,None of these,,Safety,No,39,Biometrics - eyescan
Male,34,rural,$150.000 or More,Brand,None of these,,Safety,No,67,Biometrics - photo
Female,29,suburban,$100.000 to $150.000,Friend’s recommendation,Loxone,>15,Brand,Yes,79,Conventional key
Female,34,urban,$50.000 to $75.000,Quality,None of these,,Price,No,,Biometrics - photo
Female,46,rural,$50.000 to $75.000,Brand,Google Home,1-5,Safety,No,47,Biometrics - eyescan
Female,28,urban,$25.000 to $50.000,Price,None of these,,Safety,Yes,91,Conventional key
Male,33,rural,$75.000 to $100.000,Packaging,Fibaro,1-5,Safety,No,78,Biometrics - fingerprint
Female,37,urban,$100.000 to $150.000,Safety,None of these,,Safety,No,73,Biometrics - fingerprint
Male,35,suburban,$150.000 or More,Safety,None of these,,Safety,Yes,74,Biometrics - fingerprint
Male,40,suburban,$50.000 to $75.000,Packaging,Google Home,1-5,Safety,Yes,65,Conventional key
Male,44,urban,$150.000 or More,Friend’s recommendation,Loxone,,Remote Access,No,,Biometrics - fingerprint
Female,52,suburban,Less than $25.000,Price,Fibaro,1-5,Price,Yes,39,Biometrics - eyescan
Male,32,urban,$150.000 or More,Quality,Loxone,10-15,Smart Features,Yes,74,NFC
Female,48,rural,$25.000 to $50.000,Brand,Amazon Alexa,10-15,Price,Yes,35,Biometrics - eyescan
Male,37,suburban,$25.000 to $50.000,Packaging,Amazon Alexa,10-15,Safety,Yes,48,Remote unlock by application
Female,34,urban,$25.000 to $50.000,Brand,Loxone,,Brand,Yes,,Biometrics - fingerprint
Female,41,suburban,$25.000 to $50.000,Price,None of these,,Safety,Yes,,Biometrics - photo
Female,42,rural,Less than $25.000,Friend’s recommendation,Google Home,,Safety,No,,Biometrics - fingerprint
Male,38,rural,$50.000 to $75.000,Convenience,None of these,,Remote Access,No,58,Remote unlock by application
Male,51,rural,$50.000 to $75.000,Brand,Apple Home Kit,5-10,Safety,Yes,39,Biometrics - photo
Male,40,suburban,$100.000 to $150.000,Price,Amazon Alexa,10-15,Brand,Yes,48,Conventional key
Female,32,urban,$100.000 to $150.000,Packaging,Google Home,,Remote Access,No,,Biometrics - fingerprint
Male,38,rural,$150.000 or More,Quality,Google Home,,Price,Yes,,NFC
Female,45,urban,$150.000 or More,Friend’s recommendation,Amazon Alexa,10-15,Brand,Yes,33,Biometrics - eyescan
Male,47,suburban,$150.000 or More,Packaging,Loxone,5-10,Brand,Yes,41,Biometrics - fingerprint
Male,34,rural,Less than $25.000,Durability,None of these,,Remote Access,No,52,Biometrics - eyescan
Female,29,urban,$100.000 to $150.000,Convenience,Amazon Alexa,10-15,Safety,Yes,71,NFC
Female,39,rural,Less than $25.000,Durability,None of these,,Safety,No,50,Biometrics - fingerprint
Male,56,rural,$25.000 to $50.000,Quality,Apple Home Kit,5-10,Brand,No,47,Remote unlock by application
Male,37,suburban,$75.000 to $100.000,Brand,None of these,,Brand,Yes,59,Biometrics - eyescan
Female,38,rural,$50.000 to $75.000,Durability,None of these,,Safety,Yes,43,Biometrics - fingerprint
Female,43,urban,$100.000 to $150.000,Quality,None of these,,Remote Access,Yes,48,Remote unlock by application
Male,41,urban,$75.000 to $100.000,Convenience,None of these,,Price,Yes,45,Biometrics - fingerprint
Male,31,rural,$25.000 to $50.000,Friend’s recommendation,None of these,,Remote Access,No,55,Biometrics - photo
Female,36,rural,Less than $25.000,Brand,Nest,1-5,Brand,No,73,Biometrics - eyescan
Female,34,urban,$25.000 to $50.000,Convenience,Amazon Alexa,>15,Safety,Yes,66,Biometrics - fingerprint
Male,37,suburban,Less than $25.000,Durability,None of these,,Brand,Yes,47,Biometrics - eyescan
Female,44,urban,Less than $25.000,Price,iNels,,Safety,Yes,,NFC
Female,35,suburban,$100.000 to $150.000,Quality,None of these,,Brand,No,59,Conventional key
Male,44,rural,$25.000 to $50.000,Brand,Nest,5-10,Price,No,47,Biometrics - photo
Female,31,rural,$150.000 or More,Quality,None of these,,Price,No,81,Remote unlock by application
Female,41,suburban,$75.000 to $100.000,Quality,None of these,,Remote Access,No,53,Biometrics - eyescan
Female,47,urban,Less than $25.000,Durability,None of these,,Remote Access,Yes,43,Remote unlock by application
Female,29,suburban,$50.000 to $75.000,Durability,None of these,,Price,No,66,Biometrics - photo
Male,30,urban,$75.000 to $100.000,Quality,None of these,,Price,Yes,74,Remote unlock by application
Female,35,rural,$150.000 or More,Packaging,Fibaro,5-10,Brand,Yes,75,Remote unlock by application
Male,37,urban,$100.000 to $150.000,Brand,Fibaro,>15,Price,Yes,53,Biometrics - fingerprint
Male,50,urban,$75.000 to $100.000,Convenience,None of these,,Safety,No,44,Biometrics - photo
Female,36,suburban,$25.000 to $50.000,Quality,Fibaro,,Smart Features,Yes,,Biometrics - fingerprint
Male,37,suburban,Less than $25.000,Price,Nest,10-15,Safety,No,52,NFC
Male,36,urban,$25.000 to $50.000,Brand,Loxone,5-10,Safety,Yes,59,Remote unlock by application
Female,36,rural,$150.000 or More,Convenience,None of these,,Safety,No,56,Biometrics - photo
Female,56,suburban,$150.000 or More,Convenience,None of these,,Safety,Yes,46,Biometrics - photo
Female,35,rural,$150.000 or More,Brand,None of these,,Safety,Yes,50,Remote unlock by application
Male,40,suburban,$50.000 to $75.000,Friend’s recommendation,Fibaro,>15,Smart Features,No,58,Biometrics - photo
Male,35,rural,Less than $25.000,Packaging,Nest,1-5,Price,Yes,70,NFC
